company_id,company_name,domain,country,region,industry,revenue_usd,revenue_band,revenue_is_estimated,latest_revenue_usd,latest_revenue_estimated,latest_revenue_year,employee_size_band,linkedin_employees_count,ownership_type,website,locality,description,keywords,current_owners,investors,founded_year,year_total_visits,source_file,source_region
27098007,Blue Cross and Blue Shield of Alabama,bcbsal.org,US,Alabama,Insurance,297311920.77,$250M-$300M,TRUE,297311920.77,TRUE,,1001-5000,2753,non_profit,bcbsal.org,Hoover,"Blue Cross and Blue Shield of Alabama is a not-for-profit health insurance provider that offers a range of health plans, including individual, family, and employer coverage. The organization serves over 2.8 million members, providing essential healthcare services and wellness programs to support their health needs. With a focus on accessibility and affordability, it plays a crucial role in the healthcare landscape of Alabama.",,,,1936,,companies_US_Alabama.json,US
298191,Tastefully Simple,tastefullysimple.com,US,Alabama,Food & Beverages,256728339.83,$250M-$300M,TRUE,256728339.83,TRUE,,51-200,2524,private_unknown,tastefullysimple.com,Alexandria,"Tastefully Simple is a food product retailer specializing in convenient meal solutions and kitchenware. The company offers a wide range of products including meal prep kits, seasonings, and baking mixes, catering primarily to consumers seeking easy-to-prepare food options. Their business model focuses on direct sales through their online store.",,,,1995,,companies_US_Alabama.json,US
3591274,Adtran,adtran.com,US,Alabama,Telecommunications,294267162.81,$250M-$300M,TRUE,294267162.81,TRUE,,1001-5000,2414,public,adtran.com,Huntsville,"Adtran is a telecommunications company specializing in network solutions and fiber broadband technologies. They provide a comprehensive range of products and services, including optical networking equipment, cloud software, and support services, primarily targeting telecommunications service providers and municipalities. Their innovative solutions help customers enhance network performance and meet the growing demand for high-speed connectivity.",,Adtran; adtran-networks.com,bombardier.com; Adtran; adtran-networks.com,1985,1852585,companies_US_Alabama.json,US
7937650,Aviagen,aviagen.com,US,Alabama,Food and Beverage Manufacturing,288068711.90,$250M-$300M,TRUE,288068711.90,TRUE,,1001-5000,2332,corporate,aviagen.com,Huntsville,"Aviagen is a poultry breeding company specializing in the genetics and breeding of broiler stock. They provide high-quality breeding stock and support services to poultry producers globally, focusing on health, welfare, and sustainability. Their customers include poultry farmers and producers who rely on Aviagen for expertise and quality breeding solutions.",,Aviagen,The BIO; Aviagen; BC Partners; The Royal Bank of Scotland (RBS); Advent; europe direct lyon Rhône-Alpes; EW Group GmbH,,,companies_US_Alabama.json,US
3591134,Samford University,samford.edu,US,Alabama,Higher Education,270699349.02,$250M-$300M,TRUE,270699349.02,TRUE,,1001-5000,2328,non_profit,samford.edu,Birmingham,"Samford University is a public entity offering a wide range of undergraduate and graduate academic programs. It serves students seeking higher education and personal development, focusing on character development and career preparation. The university is committed to fostering a vibrant student life and community engagement.",,,"Lilly Endowment; Health Resources and Services Administration (HRSAgov), HHS; Community Foundation of Greater Birmingham; alabamacp.org",1841,3412349,companies_US_Alabama.json,US
3591317,DCH Health System,dchsystem.com,US,Alabama,Hospitals and Health Care,250844669.26,$250M-$300M,TRUE,250844669.26,TRUE,,1001-5000,2246,public_entity,dchsystem.com,Tuscaloosa,"DCH Health System is a not-for-profit healthcare provider offering a comprehensive range of medical services, including emergency care, specialized treatments, and rehabilitation. The organization serves patients in need of healthcare solutions, focusing on community health and well-being. DCH Health System operates multiple facilities to ensure accessible and quality care for its patients.",,,,1923,558160,companies_US_Alabama.json,US
691876,TruBridge,trubridge.com,US,Alabama,Hospitals and Health Care,292564772.61,$250M-$300M,TRUE,292564772.61,TRUE,,1001-5000,2124,public,trubridge.com,Mobile,"TruBridge is a healthcare solutions provider specializing in revenue cycle management and related services. The company offers a range of products including medical coding, electronic health records, and patient access solutions, primarily serving hospitals and healthcare providers. Their business model focuses on improving financial health and operational efficiency for clients through tailored, technology-enabled solutions.",,IKS Health; iksny.com,l6holdings.com; regions.com; Pinetree Capital Ltd.; iksny.com; IKS Health,1979,456581,companies_US_Alabama.json,US
309592,"Carr, Riggs & Ingram",criadv.com,US,Alabama,Business Consulting and Services,258971184.80,$250M-$300M,TRUE,258971184.80,TRUE,,1001-5000,2115,private_equity,criadv.com,Enterprise,"Carr, Riggs & Ingram is an accounting and advisory firm that provides a range of services including audit, tax, and business consulting. The firm serves various industries such as agribusiness and healthcare, helping clients navigate financial regulations and improve their operational efficiency. With a focus on client relationships, CRI aims to deliver tailored solutions that drive growth and compliance.",,"Centerbridge Partners, L.P.; Bessemer Venture Partners","Carr, Riggs & Ingram; Centerbridge Partners, L.P.; Bessemer Venture Partners",1997,408197,companies_US_Alabama.json,US
3591367,Jacksonville State University,jsu.edu,US,Alabama,Higher Education,292431443.03,$250M-$300M,TRUE,292431443.03,TRUE,,1001-5000,2036,public_entity,jsu.edu,Jacksonville,"Jacksonville State University is a public entity that offers a wide range of educational programs and services to students. It provides undergraduate and graduate degrees across various disciplines, along with support services such as financial aid and campus resources. The university serves a diverse student population, focusing on academic excellence and community engagement.",,,"Health Resources and Services Administration (HRSAgov), HHS; Alabama Department of Human Resources; Alabama Office of Information Technology; National Science Foundation (NSF); U.S. Department of Justice",1883,3214669,companies_US_Alabama.json,US
140563,Tuskegee University,tuskegee.edu,US,Alabama,Higher Education,180322436.27,$100M-$200M,TRUE,180322436.27,TRUE,,501-1000,1960,non_profit,tuskegee.edu,Tuskegee,"Tuskegee University is a public entity that provides higher education through a variety of undergraduate and graduate programs. It serves students seeking academic qualifications and professional development, offering resources such as online learning and research opportunities. The university is committed to fostering student success and community engagement.",,,Uncf; National Telecommunications and Information Administration (NTIA); The National Institutes of Health; National Science Foundation (NSF); American Humane Society; investor.zoetis.com,1881,1434608,companies_US_Alabama.json,US
